matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
939,0.056573,0.040004
940,0.067305,0.039385
941,0.058064,0.04096
942,0.058843,0.038734
943,0.060767,0.038394
944,0.058759,0.03932
945,0.064161,0.043007
946,0.05243,0.036631
947,0.058731,0.039139
948,0.058161,0.040503
949,0.069947,0.042769
950,0.059666,0.039386
951,0.064794,0.041669
952,0.06337,0.041844
953,0.059832,0.039966
954,0.132333,0.066942
955,0.066089,0.04109
956,0.05312,0.038002
957,0.073304,0.046693
958,0.07008,0.049755
959,0.061412,0.043029
960,0.060731,0.044955
961,0.06583,0.043738
962,0.068092,0.042046
963,0.061435,0.04107
964,0.063492,0.045716
965,0.056704,0.049067
966,0.069217,0.041605
967,0.066366,0.043073
968,0.063105,0.041471
969,0.066794,0.045702
970,0.06316,0.046743
971,0.066483,0.045016
972,0.063272,0.046668
973,0.066234,0.047359
974,0.068148,0.045038
975,0.064111,0.048133
976,0.06141,0.040953
977,0.067824,0.042664
978,0.063504,0.046708
979,0.06564,0.044033
980,0.0708,0.063726
981,0.062566,0.04146
982,0.066656,0.04484
983,0.062709,0.04509
984,0.059809,0.042392
985,0.067905,0.04339
986,0.065292,0.045213
987,0.06898,0.044721
988,0.06806,0.04599
989,0.069134,0.043732
990,0.062344,0.041564
991,0.059889,0.043912
992,0.064483,0.04499
993,0.071853,0.045039
994,0.059463,0.040131
995,0.077739,0.046805
996,0.069417,0.043683
997,0.071657,0.044012
998,0.070328,0.046067
999,0.076534,0.046354
1000,0.067087,0.045452
