matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
540,0.0067158,0.00327687
541,0.0032213,0.00261803
542,0.00297523,0.00284677
543,0.00371507,0.00257667
544,0.00302973,0.00302493
545,0.0076775,0.00262204
546,0.0029401,0.00318879
547,0.00325779,0.00265891
548,0.0037087,0.00312832
549,0.00306691,0.00270687
550,0.00716648,0.00303961
551,0.00315904,0.00286072
552,0.00340098,0.00302364
553,0.00333729,0.00281885
554,0.00315799,0.00268131
555,0.00364549,0.00283697
556,0.00365359,0.00437121
557,0.00318311,0.00273532
558,0.00386327,0.0028023
559,0.00394554,0.0028476
560,0.00370899,0.00278288
561,0.00339979,0.00593916
562,0.00335824,0.00275776
563,0.00346906,0.00280196
564,0.00327448,0.00276877
565,0.00413065,0.00287221
566,0.00349018,0.00279212
567,0.00355534,0.00281574
568,0.00341227,0.00287015
569,0.00329935,0.00317597
570,0.00320886,0.00310354
571,0.00544507,0.00469463
572,0.00348325,0.00285603
573,0.00388292,0.00285497
574,0.00401307,0.00287441
575,0.00349296,0.00288443
576,0.00368703,0.00287793
577,0.00417,0.00303437
578,0.00353193,0.0029137
579,0.00473879,0.00311317
580,0.00364045,0.00294685
581,0.00444151,0.00313346
582,0.00360685,0.00294123
583,0.00373332,0.00295649
584,0.00519129,0.00299082
585,0.0035919,0.00295966
586,0.00369882,0.00369991
587,0.00380044,0.00301771
588,0.00348603,0.00316711
589,0.00400184,0.00302379
590,0.0106716,0.00342634
591,0.00382029,0.00331066
592,0.00355602,0.003323
593,0.0036959,0.00338212
594,0.00555188,0.0030922
595,0.00384444,0.00311081
596,0.00382945,0.00312559
597,0.00385538,0.00329398
598,0.00392587,0.00318132
599,0.00387783,0.00312258
600,0.00774698,0.00340833
601,0.00530948,0.00334895
602,0.00379039,0.00316759
603,0.00412469,0.00361199
604,0.00413604,0.0137842
605,0.00532987,0.00331451
606,0.00452775,0.00334152
607,0.0040968,0.00346554
608,0.00380633,0.00321923
609,0.00380724,0.00327006
610,0.00403477,0.00349192
611,0.00390178,0.00351142
612,0.00388659,0.00380529
613,0.00446823,0.00346312
614,0.00383748,0.00331331
615,0.00437408,0.00338196
616,0.00450679,0.00364042
617,0.00396011,0.00334693
618,0.0121095,0.00338914
619,0.00420042,0.00342594
620,0.00420177,0.00365214
621,0.00411306,0.00389857
622,0.00436092,0.0033886
623,0.00409995,0.00344538
624,0.00400496,0.00338186
625,0.00396973,0.00341772
626,0.004808,0.00363342
627,0.00415151,0.00725829
628,0.00425823,0.00366647
629,0.0046182,0.00367451
630,0.00395935,0.00348252
631,0.00425775,0.00348555
632,0.00380754,0.00588636
633,0.00421888,0.00410113
634,0.00439791,0.00359131
635,0.00428749,0.00353163
636,0.00446125,0.00376521
637,0.00413829,0.00440453
638,0.00561956,0.00471177
639,0.00448503,0.0112305
640,0.00436291,0.00623657
641,0.00445937,0.0037273
642,0.00447925,0.00380135
643,0.00455613,0.00417866
644,0.00436332,0.00385567
645,0.00422822,0.00383397
646,0.0045294,0.00380323
647,0.00449723,0.00385092
648,0.00428073,0.00367314
649,0.00441954,0.00375893
650,0.00433933,0.00385146
651,0.00435888,0.00371952
652,0.00413597,0.00370014
653,0.00559916,0.00415704
654,0.0042803,0.00375065
655,0.00438454,0.00390777
656,0.00440574,0.00422951
657,0.00409876,0.00372841
658,0.00456852,0.00380449
659,0.00417928,0.00488126
660,0.0061505,0.00849207
661,0.00447294,0.012489
662,0.0134076,0.00415844
663,0.00519157,0.00397634
664,0.00487636,0.00400283
665,0.00472414,0.00398307
666,0.00487255,0.00409809
667,0.00466547,0.00482953
668,0.00460997,0.00392772
669,0.00435838,0.00398759
670,0.00576985,0.00399496
671,0.00522763,0.00399364
672,0.00468904,0.00402523
673,0.00460471,0.00453994
674,0.00450367,0.00396497
675,0.00480444,0.00400006
676,0.00964245,0.0045151
677,0.00558576,0.00405069
678,0.00521237,0.00418782
679,0.00496598,0.00436704
680,0.00472711,0.00409156
681,0.00470782,0.00428617
682,0.00521426,0.00463604
683,0.00512704,0.00418067
684,0.00552952,0.00415427
685,0.00507892,0.00413453
686,0.00515188,0.00478529
687,0.00493684,0.00426705
688,0.00487554,0.00414499
689,0.00484759,0.00413598
690,0.00538631,0.00476764
691,0.00507726,0.00419702
692,0.0050607,0.00425035
693,0.00492758,0.00421744
694,0.00568935,0.00419767
695,0.00489153,0.00648487
696,0.0051402,0.00430838
697,0.00493536,0.00426978
698,0.00496682,0.0043054
699,0.0051188,0.00430198
700,0.00511181,0.00429998
701,0.00539143,0.00488128
702,0.00521975,0.00437113
703,0.00482852,0.00432288
704,0.00556255,0.00434869
705,0.00673255,0.00505493
706,0.00506926,0.00862496
707,0.00532431,0.00440577
708,0.00529905,0.0044341
709,0.00538318,0.00543659
710,0.00515453,0.00504735
711,0.00519639,0.00854545
712,0.0130787,0.00473421
713,0.00546269,0.00449114
714,0.00522195,0.00444047
715,0.00562677,0.00452245
716,0.00613951,0.00475724
717,0.00552336,0.00452141
718,0.005483,0.00452257
719,0.00525928,0.00876868
720,0.00523569,0.00493413
721,0.00558835,0.00458721
722,0.0057252,0.00498374
723,0.00556899,0.00467801
724,0.00599509,0.00466346
725,0.00559383,0.00592635
726,0.00587644,0.00463894
727,0.00553921,0.0047127
728,0.00528726,0.0113032
729,0.00567568,0.00474012
730,0.00578933,0.00517925
731,0.00571729,0.0047375
732,0.00595813,0.00495838
733,0.00596704,0.0048706
734,0.00588546,0.00469518
735,0.00601057,0.00521687
736,0.00556043,0.00479406
737,0.00550804,0.00478427
738,0.00553935,0.004791
739,0.00572494,0.00479015
740,0.00791746,0.00484425
741,0.00580207,0.00483777
742,0.00771745,0.00505774
743,0.00592857,0.00489172
744,0.00591878,0.00627723
745,0.0059406,0.0051101
746,0.00575161,0.0143787
747,0.00631264,0.00526396
748,0.00703281,0.0049464
749,0.00576319,0.00488218
750,0.00586119,0.00510411
751,0.00566288,0.00544903
752,0.00575052,0.0049688
753,0.0080514,0.00510469
754,0.00683857,0.00507076
755,0.00971555,0.00523185
756,0.00613598,0.00519642
757,0.00579215,0.00557231
758,0.00606842,0.00544089
759,0.00609217,0.00918517
760,0.0102692,0.00522019
761,0.00589884,0.0050377
762,0.00599327,0.00534893
763,0.00678747,0.00535617
764,0.00633338,0.00518815
765,0.0061035,0.00512072
766,0.00619437,0.00517162
767,0.00630757,0.00519117
768,0.00617375,0.00522041
769,0.00611555,0.00522868
770,0.00618099,0.00519914
771,0.0063177,0.00549636
772,0.00617057,0.00964732
773,0.00594428,0.00519994
774,0.00779003,0.00655954
775,0.00657424,0.00538267
776,0.00627736,0.00530442
777,0.00638983,0.00529513
778,0.0062135,0.00539272
779,0.00617987,0.00594216
780,0.00662194,0.0053928
781,0.0066535,0.00536242
782,0.00644185,0.00545515
783,0.00663389,0.00575915
784,0.00640002,0.00544386
785,0.00668618,0.0055164
786,0.0063818,0.00551686
787,0.00646182,0.00695064
788,0.0079795,0.00578109
789,0.00680545,0.00616409
790,0.00644437,0.00545526
791,0.00687891,0.00572607
792,0.00695496,0.00580001
793,0.00705304,0.00566348
794,0.00709595,0.00635656
795,0.00681667,0.00561816
796,0.00664467,0.0101086
797,0.00708902,0.00573227
798,0.00647445,0.00562878
799,0.00687506,0.00736628
800,0.0072548,0.00664128
801,0.00647462,0.00700322
802,0.00667748,0.00652104
803,0.00730923,0.00605126
804,0.00671123,0.00577379
805,0.00654466,0.0058347
806,0.00727892,0.00587785
807,0.00675836,0.00589066
808,0.00685775,0.00588346
809,0.00705382,0.00657816
