matrix size,matrix multiplication time,matrix multiplication time using a transpose matrix
657,0.012655,0.012397
658,0.012663,0.012437
659,0.012664,0.012473
660,0.01275,0.012506
661,0.012825,0.012563
662,0.012829,0.012588
663,0.013444,0.01353
664,0.01306,0.012671
665,0.012921,0.012688
666,0.013369,0.012739
667,0.013202,0.012871
668,0.013081,0.012802
669,0.013129,0.012832
670,0.013333,0.012883
671,0.013188,0.013072
672,0.013345,0.0131
673,0.013333,0.013133
674,0.013321,0.013072
675,0.013377,0.013081
676,0.013514,0.013227
677,0.014161,0.013973
678,0.014382,0.013353
679,0.013583,0.013319
680,0.013534,0.013274
681,0.013731,0.013359
682,0.013618,0.013349
683,0.013645,0.013382
684,0.013904,0.013635
685,0.014942,0.013635
686,0.013812,0.013588
687,0.014264,0.013811
688,0.013936,0.013698
689,0.014017,0.013748
690,0.01396,0.013709
691,0.013959,0.013828
692,0.013981,0.013794
693,0.014017,0.013848
694,0.014154,0.013911
695,0.014133,0.013908
696,0.015205,0.01393
697,0.014176,0.013961
698,0.015166,0.014082
699,0.014419,0.014112
700,0.014354,0.014141
701,0.014374,0.014158
702,0.014402,0.014157
703,0.014438,0.014254
704,0.014503,0.014298
705,0.015403,0.014294
706,0.014541,0.014334
707,0.01456,0.014539
708,0.014745,0.014513
709,0.014809,0.014579
710,0.01478,0.014557
711,0.015444,0.014518
712,0.0148,0.014559
713,0.014811,0.014627
714,0.014888,0.014636
715,0.014953,0.01477
716,0.014968,0.014729
717,0.015197,0.014855
718,0.015106,0.014892
719,0.015137,0.014876
720,0.015216,0.01489
721,0.015239,0.014959
722,0.015281,0.014978
723,0.015309,0.015021
724,0.015356,0.015095
725,0.015612,0.015143
726,0.017003,0.015802
727,0.016263,0.015296
728,0.015677,0.015272
729,0.015602,0.015346
730,0.015586,0.015385
731,0.015593,0.015347
732,0.015654,0.015381
733,0.015688,0.015433
734,0.015942,0.018237
735,0.017282,0.016039
736,0.016165,0.015732
737,0.016088,0.015724
738,0.016064,0.015664
739,0.016677,0.015756
740,0.016758,0.015778
741,0.016083,0.015768
742,0.016123,0.015835
743,0.016134,0.015846
744,0.016324,0.016005
745,0.01661,0.016005
746,0.017877,0.017351
747,0.017425,0.016209
748,0.017036,0.016215
749,0.016596,0.016197
750,0.016406,0.016141
751,0.016488,0.016156
752,0.016843,0.016654
753,0.016769,0.016424
754,0.017638,0.016302
755,0.016622,0.016366
756,0.016662,0.016408
757,0.020561,0.018475
758,0.017513,0.01805
759,0.017109,0.01666
760,0.017194,0.017093
761,0.017737,0.01675
762,0.016958,0.016698
763,0.016994,0.016737
764,0.018672,0.0168
765,0.017095,0.016785
766,0.017143,0.016828
767,0.018041,0.016964
768,0.017182,0.017167
769,0.01735,0.017111
770,0.017387,0.017031
771,0.017375,0.017086
772,0.017652,0.017771
773,0.017631,0.017783
774,0.018239,0.018074
775,0.017888,0.017841
776,0.01784,0.018491
777,0.018813,0.019169
778,0.018505,0.018105
779,0.018514,0.018456
780,0.018194,0.018246
781,0.018142,0.018291
782,0.018164,0.018291
783,0.01846,0.01868
784,0.018456,0.018195
785,0.018352,0.018446
786,0.018254,0.018427
787,0.018449,0.018513
788,0.018795,0.018728
789,0.019053,0.018463
790,0.018538,0.018595
791,0.018872,0.018586
792,0.018805,0.018757
793,0.019064,0.018814
794,0.01874,0.018833
795,0.018852,0.018725
796,0.018733,0.018961
797,0.018827,0.018945
798,0.018889,0.019045
799,0.018914,0.019219
800,0.01914,0.019172
801,0.019034,0.018999
802,0.019387,0.019201
803,0.019071,0.01908
804,0.019118,0.019213
805,0.01916,0.019183
806,0.019417,0.019413
807,0.019563,0.01929
808,0.019559,0.019408
809,0.021351,0.019662
810,0.019915,0.019366
811,0.019501,0.019534
812,0.019659,0.019563
813,0.019651,0.019689
814,0.020044,0.01977
815,0.019757,0.019724
816,0.019758,0.019592
817,0.020371,0.019794
818,0.020878,0.019854
819,0.020055,0.01972
820,0.020008,0.01989
821,0.020181,0.020139
822,0.019978,0.019801
823,0.019986,0.020177
824,0.020124,0.020165
825,0.020215,0.020225
826,0.020168,0.020198
827,0.020195,0.020218
828,0.020596,0.020502
829,0.020511,0.020332
830,0.020364,0.0203
831,0.020363,0.020335
832,0.020404,0.02032
833,0.020438,0.020412
834,0.020557,0.020493
835,0.020815,0.020806
836,0.021212,0.020679
837,0.02078,0.021025
838,0.021938,0.020672
839,0.022093,0.020814
840,0.020793,0.020788
841,0.020873,0.020905
842,0.02095,0.021024
843,0.021804,0.021789
844,0.022149,0.0222
845,0.021329,0.02126
846,0.021149,0.021132
847,0.022274,0.021495
848,0.02138,0.021485
849,0.021622,0.021535
850,0.02136,0.021287
851,0.021419,0.021215
852,0.021437,0.021464
853,0.021473,0.021444
854,0.021573,0.021523
855,0.021632,0.021582
856,0.021686,0.02159
857,0.021572,0.021566
858,0.021665,0.02157
859,0.021744,0.021674
860,0.02182,0.021834
861,0.022036,0.021975
862,0.022512,0.021964
863,0.022114,0.021984
864,0.022068,0.022012
865,0.022188,0.021998
866,0.022108,0.021986
867,0.022212,0.022028
868,0.022339,0.022336
869,0.022351,0.022382
870,0.022342,0.022254
871,0.022472,0.022469
872,0.02242,0.022331
873,0.023629,0.022479
874,0.022919,0.022628
875,0.022704,0.022569
876,0.022682,0.022741
877,0.022635,0.022658
878,0.023312,0.022737
879,0.023671,0.022568
880,0.022749,0.022841
881,0.023257,0.023124
882,0.023116,0.022903
883,0.023088,0.023166
884,0.023124,0.02307
885,0.023009,0.022927
886,0.023746,0.023231
887,0.024027,0.023416
888,0.023461,0.023964
889,0.023273,0.023159
890,0.023554,0.023611
891,0.024457,0.02353
892,0.023799,0.023513
893,0.023701,0.023494
894,0.023741,0.023601
895,0.023496,0.023366
896,0.024643,0.023584
897,0.023615,0.02417
898,0.023897,0.024205
899,0.023798,0.023484
900,0.023885,0.023733
901,0.024008,0.02377
902,0.023663,0.023785
903,0.023872,0.023729
904,0.024203,0.024316
905,0.024244,0.024057
906,0.02444,0.024089
907,0.023898,0.023783
908,0.024363,0.023637
909,0.024281,0.024086
910,0.026113,0.02469
911,0.025889,0.025975
912,0.026061,0.025936
913,0.02526,0.02506
914,0.024672,0.024244
915,0.024563,0.024375
916,0.024583,0.02427
917,0.024682,0.024524
918,0.024926,0.024564
919,0.024607,0.024541
920,0.025012,0.024718
921,0.024711,0.024616
922,0.024702,0.025766
923,0.02526,0.025266
924,0.025423,0.024986
925,0.025545,0.025172
926,0.025254,0.025069
927,0.025384,0.026857
928,0.026745,0.025445
929,0.025457,0.025111
930,0.025637,0.025085
931,0.025361,0.025421
932,0.025859,0.025273
933,0.026148,0.025566
934,0.025627,0.02537
935,0.025809,0.025499
936,0.025597,0.025432
937,0.026541,0.025848
938,0.026,0.025722
939,0.025916,0.025949
940,0.026313,0.025842
941,0.025872,0.025825
942,0.026189,0.025848
943,0.026056,0.02584
944,0.026394,0.026397
945,0.026174,0.02593
946,0.02628,0.025981
947,0.026239,0.026116
948,0.026279,0.026177
949,0.026527,0.026133
950,0.026561,0.026263
951,0.026682,0.026275
952,0.026415,0.026294
953,0.026445,0.02633
954,0.026771,0.026723
955,0.029192,0.02938
956,0.029181,0.027712
957,0.027911,0.026797
958,0.027351,0.028603
959,0.027432,0.02682
960,0.027062,0.026665
961,0.026979,0.026807
962,0.027067,0.026813
963,0.027045,0.02683
964,0.027247,0.027083
965,0.027502,0.027214
966,0.027729,0.027539
967,0.029932,0.028163
968,0.027607,0.027309
969,0.027472,0.027282
970,0.027559,0.02726
971,0.027545,0.027308
972,0.027473,0.027316
973,0.028706,0.028102
974,0.02803,0.02764
975,0.028128,0.027653
976,0.028031,0.027661
977,0.028368,0.027568
978,0.028131,0.027704
979,0.028247,0.027799
980,0.028071,0.027882
981,0.028286,0.027883
982,0.02814,0.027848
983,0.028406,0.027889
984,0.028836,0.028019
985,0.028689,0.028173
986,0.02867,0.029227
987,0.029554,0.031191
988,0.031543,0.031418
989,0.030802,0.030459
990,0.029806,0.029546
991,0.029211,0.029237
992,0.029141,0.028866
993,0.029811,0.029998
994,0.030389,0.029017
995,0.029585,0.028905
996,0.029386,0.029075
997,0.030241,0.029659
998,0.02938,0.031051
999,0.030587,0.029351
1000,0.029936,0.029669
